議員氏名,通称名使用議員の本名,議員個人の紹介ページ,読み方,会派,選挙区,任期満了,写真URL,当選年,当選回数,役職等,役職等の時点,経歴,経歴の時点
古川　俊治,,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/profile/7007053.htm,ふるかわ　としはる,自民,埼玉,2025-07-28,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/photo/g7007053.jpg,2007、2013、2019,3,財政金融委員会、国家基本政策委員会（理）、政治倫理審査会,2025-06-19,昭和38年1月14日さいたま市岩槻区生まれ。昭和62年に慶應義塾大学医学部卒業。慶應義塾大学病院において外科専門医としての修練を積む一方、平成2年から平成5年にかけて米国カリフォルニア大学医学部との共同研究に従事。平成6年に博士号取得。その一方、慶應義塾大学の文学部で社会学を、次いで法学部で法律学を学び、文学部を平成5年に、法学部を平成8年に卒業。平成8年に司法試験に合格し、平成11年に弁護士登録。以後、医師・弁護士として活動し、慶應義塾大学医学部にてロボット外科医療などの先進医療を推進するとともに、日本弁護士連合会公害対策環境保全委員会の特別委嘱委員、埼玉県環境審議委員等を務める。平成16年に英国オックスフォード大学大学院に留学し、国際企業や公共政策を研究し、平成17年に経営学修士号を取得。平成19年より、慶應義塾大学大学院法務研究科（法科大学院）教授・医学部外科教授（兼担）となる,2022-11-30
星　北斗,,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/profile/7022035.htm,ほし　ほくと,自民,福島,2028-07-25,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/photo/g7022035.jpg,2022,1,厚生労働委員会、議院運営委員会（理）、政治改革に関する特別委員会、東日本大震災復興特別委員会、国民生活・経済及び地方に関する調査会,2025-06-19,昭和39年3月18日生まれ、福島県郡山市出身○平成元年東邦大学医学部卒業○平成元年厚生省入省。平成4年労働省労働基準局安全衛生部化学物質調査係長。平成8年ハーバード大学公衆衛生大学院客員研究員。平成10年（財）星総合病院副理事長。平成12年（公社）日本医師会常任理事。平成17年（一社）福島県医師会常任理事。平成18年（公社）日本医師会代議員。平成18年（一社）郡山医師会理事。平成20年（財）星総合病院理事長。平成27年（一社）福島県医師会副会長。平成29年（公社）全日本病院協会理事。平成30年（公社）日本医師会参与○現在（公社）星総合病院理事長。東邦大学医学部客員教授。福島県医師会参与。ポラリス保健看護学院院長○福島県立医科大学大学院医学研究科（公衆衛生学講座）学位,2022-11-30
堀井　巌,,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/profile/7013048.htm,ほりい　いわお,自民,奈良,2025-07-28,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/photo/g7013048.jpg,2013、2019,2,外交防衛委員会、予算委員会、災害対策特別委員会,2025-06-19,昭和40年10月22日奈良県橿原市に生まれ、東大寺学園高校を経て、同63年東京大学経済学部卒業○昭和63年自治省（現総務省）入省、在サンフランシスコ日本国総領事館領事、消防庁課長補佐、静岡県財政室長、総務省自治財政局財政企画官、内閣官房副長官秘書官、岡山県総務部長、総務省室長等を歴任○平成25年7月第23回参議院議員選挙にて奈良県選挙区で初当選。農林水産委員会委員、予算委員会理事、自民党副幹事長、外交防衛委員会筆頭理事、参議院自民党国会対策副委員長、外務大臣政務官○現在自民党外交部会長、予算委員会委員、外交防衛委員会委員、倫理選挙特別委員会理事、憲法審査会幹事、情報監視審査会会長代理委員、自民党国際局次長、奈良県サッカー協会会長、奈良陸上競技協会会長,2022-11-30
本田　顕子,,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/profile/7019034.htm,ほんだ　あきこ,自民,比例,2025-07-28,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/photo/g7019034.jpg,2019,1,文教科学委員会（理）、予算委員会、政府開発援助等及び沖縄・北方問題に関する特別委員会、資源エネルギー・持続可能社会に関する調査会,2025-06-19,昭和46年9月29日熊本生まれ、熊本育ち。薬剤師。平成8年星薬科大学衛生学科卒業。医薬品卸や薬局等に勤務。元参議院議員本田良一公設秘書。平成28年熊本県薬剤師会職員となった1か月後（同年4月）熊本地震を経験。熊本県薬剤師会災害対策本部の中で医薬品供給の責務を担当。切れ目のない医療提供の大切さを痛感する。平成29年日本薬剤師連盟副会長。平成30年日本薬剤師会災害対策委員会委員。同年7月、日本薬剤師会雑誌掲載のため安倍晋三総理と対談「我が国の災害対策とこれからの医療と薬剤師」。令和初の国政選挙において初当選。厚生労働分野のみならず自民党女性局を通し、地域の方との対話集会を続けている。自民党副幹事長、参議院自民党副幹事長、女性局長代理等を歴任し、令和4年8月より厚生労働大臣政務官兼内閣府大臣政務官○厚労委、ODA沖北特委,2022-11-30
舞立　昇治,,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/profile/7013049.htm,まいたち　しょうじ,自民,鳥取・島根,2025-07-28,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/photo/g7013049.jpg,2013、2019,2,農林水産委員会（長）、資源エネルギー・持続可能社会に関する調査会,2025-06-19,昭和50年8月13日鳥取県日吉津村生まれ。米子東高校を経て、東京大学経済学部卒業○平成11年4月自治省入省。以後、福岡県庁、厚生労働省介護保険課、下関市財政部長、新潟県地域政策課長、財政課長、消防庁消防・救急課、総務省市町村税課、企画課、準公営企業室などを歴任○議院運営委員会理事、農林水産委員会筆頭理事、内閣府大臣政務官、党副幹事長、党水産部会長などを歴任○現在総務委員会委員、行政監視委員会筆頭理事、政治倫理の確立及び選挙制度に関する特別委員会委員、参議院自由民主党国会対策委員会副委員長,2022-11-30
牧野　たかお,牧野　京夫,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/profile/7007054.htm,まきの　たかお,自民,静岡,2025-07-28,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/photo/g7007054.jpg,2007、2013、2019,3,財政金融委員会、議院運営委員会（長）,2025-06-19,昭和34年1月1日静岡県島田市（旧金谷町）生まれ。昭和57年早稲田大学法学部卒業○テレビ静岡報道部記者・デスク○平成7年静岡県議会議員初当選、3期連続当選○平成19年7月参議院議員初当選。農林水産委員会委員、財政金融委員会委員、決算委員会委員、予算委員会委員、国土交通委員長、経済産業委員会理事、災害対策特別委員長、議院運営委員会筆頭理事○自由民主党水産部会部会長、情報調査会次長、外務大臣政務官、国土交通副大臣を歴任○現在自由民主党幹事長代理、総務委員会委員○著書「住民投票はなぜ否決されたのか」（ぎょうせい）,2022-11-30
牧山　ひろえ,牧山　弘惠,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/profile/7007055.htm,まきやま　ひろえ,立憲,神奈川,2025-07-28,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/photo/g7007055.jpg,2007、2013、2019,3,経済産業委員会（長）、国家基本政策委員会、政府開発援助等及び沖縄・北方問題に関する特別委員会,2025-06-19,1964年9月29日生まれ。1987年、国際基督教大学（ICU）教養学部語学科卒業後、TBSに入社しディレクターとして勤務。同社退社後、渡米。1991年米国のトーマス・クーリー法科大学院修了。同年ニューヨークのマークス村瀬法律事務所にて勤務。1993年米国司法試験に合格（ニューヨーク州、コネチカット州）後、松竹（株）（同年にハリウッドのワーナー・ブラザースに出向）、1995年ポリグラム（株）、1996年夫の転勤に伴いニューヨークのハッシー法律事務所、2004年ソニーピクチャーズエンタテインメント（法務部シニア・マネージャー）などで勤務。2007年7月、参議院議員選挙にて初当選。2019年三度目の当選を果たす。倫理選挙特別委員長や環境委員長等を歴任。二児の母親○現在法務委員会野党筆頭理事、議院運営委員会委員、議院運営委員会図書館運営小委員長、情報監視審査会委員、立憲民主党参議院議員会長代行,2022-11-30
松川　るい,新居　るい,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/profile/7016035.htm,まつかわ　るい,自民,大阪,2028-07-25,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/photo/g7016035.jpg,2016、2022,2,外交防衛委員会、予算委員会、外交・安全保障に関する調査会、憲法審査会,2025-06-19,1971年生まれ。四天王寺中学・高校、東京大学法学部卒業後、外務省に入省。入省後、米国ジョージタウン大学国際関係論大学院修士号取得。外務省では、アジア外交や情勢分析の他、初代女性参画推進室長として、世界の女性活躍に取り組み、国際女性会議「WAW！」を成功に導く。2016年初当選。参議院自民党唯一の元キャリア外交官。防衛大臣政務官、自民党では女性局長、国防部会長代理、外交部会長代理、大阪・関西万博推進本部事務局長、国際局次長など歴任。男性の育休「義務化」推進議連を立ち上げて、男性のための特別な育休創設を提言、育休法改正を実現。防衛大臣政務官在任時には子ども用の「はじめての防衛白書」を発案、好評により書籍化される。テレビや各種メディアに多数出演。2022年、初の単著「挑戦する力」（飛鳥新社）出版。同年、二度目の当選。二児の母,2022-11-30
松沢　成文,,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/profile/7013050.htm,まつざわ　しげふみ,維新,神奈川,2028-07-25,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/photo/g7013050.jpg,2013、2019、2022,3,外交防衛委員会、懲罰委員会、消費者問題に関する特別委員会、憲法審査会,2025-06-19,1958年4月2日神奈川県川崎市生まれ。1982年3月慶應義塾大学法学部政治学科卒業。1982年（財）松下政経塾に第3期生として入塾。1984年米国連邦下院議員のスタッフとして活動。1987年神奈川県議会議員に立候補、県政史上最年少議員として初当選。1991年同2期目当選。1993年衆議院議員に初当選。1996年同2期目当選。2000年同3期目当選。2003年神奈川県知事に就任。2007年同2期目就任。知事多選禁止条例や受動喫煙防止条例の制定等、2期8年間で自ら掲げたマニフェストの約8割を達成。2013年参議院議員に当選。現在聖マリアンナ医科大学客員教授、神奈川大学法学部非常勤講師、一般社団法人首都圏政策研究所代表理事等を務める○著書「JT、財務省、たばこ利権」「教養として知っておきたい二宮尊徳」「始動！江戸城天守閣再建計画」「横浜を拓いた男たち」「北条五代、奇跡の100年」他多数,2022-11-30
松下　新平,,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/profile/7004056.htm,まつした　しんぺい,自民,宮崎,2028-07-25,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/photo/g7004056.jpg,2004、2010、2016、2022,4,総務委員会、北朝鮮による拉致問題等に関する特別委員会（長）、憲法審査会,2025-06-19,昭和41年8月18日、宮崎県宮崎市（旧高岡町）に生まれ、県立宮崎西高校を経て、平成4年法政大学第二法学部政治学科を卒業○平成3年宮崎県庁入庁。平成9年1月参議院議員公設秘書。平成11年宮崎県議会に初当選。平成15年宮崎県議会に2期目当選。平成16年参議院議員通常選挙において初当選。平成22年参議院議員通常選挙において2期目当選。参議院災害対策特別委員長。第二次安倍内閣国土交通大臣政務官。自民党政務調査会副会長、自民党総務部会長。第三次安倍改造内閣総務副大臣兼内閣府副大臣。平成28年参議院議員通常選挙において3期目当選。自民党人事局長、自民党外交部会長、自民党財務金融部会長、参議院政府開発援助等に関する特別委員長、参議院政治倫理の確立及び選挙制度に関する特別委員長。令和4年参議院議員通常選挙において4期目当選。参議院政治倫理審査会会長,2022-11-30
松野　明美,前田　明美,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/profile/7022036.htm,まつの　あけみ,維新,比例,2028-07-25,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/photo/g7022036.jpg,2022,1,農林水産委員会、予算委員会、災害対策特別委員会,2025-06-19,昭和43年4月27日、熊本県生まれ。熊本県立鹿本高等学校卒業。昭和62年ニコニコドー入社、女子陸上部入部。昭和63年ソウルオリンピック女子1万メートル出場。平成7年引退、引退後はタレント活動等。平成22年熊本市議会議員初当選（増員選挙）。平成23年熊本市議会議員2期目当選。平成27年熊本県議会議員初当選（2期務める）。令和4年7月参議院議員選挙比例区で初当選○著書「いちばんじゃなくて、いいんだね。」アスコム刊,2022-11-30
松村　祥史,,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/profile/7004057.htm,まつむら　よしふみ,自民,熊本,2028-07-25,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/photo/g7004057.jpg,2004、2010、2016、2022,4,経済産業委員会、政治倫理審査会（長）,2025-06-19,昭和39年4月22日熊本県球磨郡上村生、県立人吉高等学校（硬式野球部・主将）、専修大学経営学部卒（東都大学リーグ硬式野球部）○平成11年熊本県商工会青年部連合会会長、平成11年6月丸昭商事（株）代表取締役社長、平成13年5月全国商工会青年部連合会会長（2期）、全国商工会連合会顧問○経済産業委員会理事、参議院環境委員長、参議院議院運営委員長、参議院決算委員長、経済産業大臣政務官、経済産業副大臣、自民党水産部会長、自民党幹事長代理を歴任○現在自民党総務会長代理、自民党熊本県参議院選挙区第一支部長,2022-11-30
松山　政司,,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/profile/7001046.htm,まつやま　まさじ,自民,福岡,2025-07-28,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/photo/g7001046.jpg,2001、2007、2013、2019,4,財政金融委員会、国家基本政策委員会（理）、政府開発援助等及び沖縄・北方問題に関する特別委員会,2025-06-19,1959年1月20日生まれ、福岡市在住○福岡県立京都高校・明治大学商学部卒業○1996年福岡青年会議所理事長、1999年日本青年会議所会頭○2001年参議院議員初当選○参議院・議院運営委員長、環境委員長、政府開発援助等に関する特別委員長、議院運営委員会筆頭理事、議院運営委庶務関係小委員長、決算委員会筆頭理事、経済産業委員会理事、農林水産委員、憲法調査会委員○自民党国会対策委員長、総務会長代理、副幹事長、国対副委員長、福岡県支部連合会会長、団体総局次長、水産部会副部会長、改革実行本部幹事、食育調査会○国務大臣、外務副大臣、経済産業大臣政務官○現在参議院自民党政策審議会長、裁判官弾劾裁判所裁判長、党外国人労働者等特別委員長、選挙対策本部副委員長,2022-11-30
三浦　信祐,,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/profile/7016036.htm,みうら　のぶひろ,公明,神奈川,2028-07-25,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/photo/g7016036.jpg,2016、2022,2,外交防衛委員会（理）、予算委員会、政府開発援助等及び沖縄・北方問題に関する特別委員会、国民生活・経済及び地方に関する調査会,2025-06-19,1975年3月5日、宮城県仙台市生まれ。福島県立福島高等学校卒業、千葉工業大学工学部卒業○1997年防衛庁入庁、防衛大学校教官着任。2003年東京工業大学にて博士（工学）号取得。2007年防衛大学校助教、同年同講師、2012年同准教授。専門は金属工学。先進発電機器材料の国際会議で、最も優れた発表者に贈られる「ベストポスター賞」を連続受賞（02年・06年）。2016年7月参議院議員選挙にて神奈川選挙区で初当選○現在災害対策特別委員長、内閣委員会委員、決算委員会委員、党青年局長、東海道方面幹事長、神奈川県本部代表、ロボット産業推進議員連盟会長○著書「未来をつくる、新しい風」,2022-11-30
三浦　靖,,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/profile/7019035.htm,みうら　やすし,自民,比例,2025-07-28,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/photo/g7019035.jpg,2019,1,厚生労働委員会（理）、予算委員会、東日本大震災復興特別委員会,2025-06-19,昭和48年4月島根県大田市生まれ、神奈川大学法学部卒業○衆議院議員秘書○大田市議会議員○衆議院議員○衆議院総務委員、環境委員○自民党青年局次長○参議院総務委員、議院運営委員○参議院資源エネルギー調査会理事○総務大臣政務官,2022-11-30
三上　えり,川堀　絵里,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/profile/7022037.htm,みかみ　えり,立憲,広島,2028-07-25,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/photo/g7022037.jpg,2022,1,環境委員会、議院運営委員会、北朝鮮による拉致問題等に関する特別委員会、国民生活・経済及び地方に関する調査会,2025-06-19,1970年6月広島県広島市生まれ。広島市立井口中学校、広島県立広島井口高等学校卒業。サザンセミナリーカレッジ（米・バージニア州）卒業後、NHKでのアシスタントを経て、1996年TSS（株式会社テレビ新広島）に入社。アナウンス部、報道部を経て、2022年に同局退社。約30年間、仕事と2人の子どもの子育て、父親の介護を行い、女性も男性も働きやすい世の中に変えていく必要性を常に感じていた。報道部では県内各地をまわり多くの方々と出会い、それぞれの切実な声を受け止めた。そして、どんなに現場の声が小さくても、集まれば必ず大きな声となり社会を変えていくきっかけとなることを経験。現場の声の大切さを実感する。また、長年、広島から平和を訴える朗読ボランティアにも参加。被爆の実相の継承など積極的に活動を行う。2022年7月に行われた参議院広島県選出議員選挙にて初当選を果たした,2022-11-30
三原　じゅん子,中根　順子,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/profile/7010048.htm,みはら　じゅんこ,自民,神奈川,2028-07-25,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/photo/g7010048.jpg,2010、2016、2022,3,財政金融委員会,2025-06-19,昭和39年9月13日東京都板橋区生まれ。明治大学付属中野高等学校中退、元女優。平成22年7月参議院全国比例区にて初当選。参議院政府開発援助等及び沖縄・北方問題に関する特別委員長、消費者問題に関する特別委員長、厚生労働委員長、予算委員会理事、厚生労働委員会理事、環境委員会理事、北朝鮮による拉致問題等に関する特別委員会理事、厚生労働副大臣、内閣府大臣補佐官、自由民主党女性局長、自由民主党神奈川県参議院選挙区第4支部長、自由民主党神奈川県支部連合会常任顧問、自由民主党婚活・ブライダル振興議員連盟会長、自由民主党どうぶつ愛護議員連盟幹事長兼事務局長、自由民主党オートバイ議員連盟事務局長、自由民主党二輪車問題対策PT座長、自由民主党モータースポーツ振興議員連盟幹事長、自由民主党知的障がい者の明日を考える議員連盟幹事長、平成28年・令和4年7月参議院神奈川選挙区にて当選,2022-11-30
三宅　伸吾,,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/profile/7013052.htm,みやけ　しんご,自民,香川,2025-07-28,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/photo/g7013052.jpg,2013、2019,2,財政金融委員会（長）、政府開発援助等及び沖縄・北方問題に関する特別委員会,2025-06-19,昭和36年生まれ、香川県さぬき市出身。早稲田大学政治学科卒業後、日本経済新聞社入社。平成元年、米コロンビア大学留学。平成5年、東京大学大学院法学政治学研究科に入学。平成7年、修士論文を出版し、修了○日本経済新聞社記者時代は、企業や経済産業省、法務省、金融庁など中央官庁を取材。平成14年、政治部へ。平成15年から平成24年に退職するまで、同社編集委員として経済成長を促す様々な制度改革を提案。経済法制ジャーナリストという新しい地平を拓いた○著書に「弁護士カルテル」（信山社出版）、「知財戦争」（新潮新書）、「乗っ取り屋と用心棒」（日本経済新聞出版社）、「市場と法　いま何が起きているのか」（日経BP社）、「Googleの脳みそ―変革者たちの思考回路」（日本経済新聞出版社）など○平成25年7月、参議院議員初当選○参議院外交防衛委員長、外務大臣政務官など歴任,2022-11-30
水岡　俊一,,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/profile/7004058.htm,みずおか　しゅんいち,立憲,比例,2025-07-28,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/photo/g7004058.jpg,2004、2010、2019,3,文教科学委員会、国家基本政策委員会,2025-06-19,1956年6月13日兵庫県生まれ○県立豊岡高等学校を経て80年奈良教育大学を卒業○同年兵庫県三木市立志染中学校教諭、81年三木市立星陽中学校、86年ニューデリー日本人学校、89年三木市立星陽中学校に転任○90年兵庫県教職員組合役員、95年兵庫県学校厚生会役員、2000年兵庫教育文化研究所事務局長、02年兵庫県教職員組合書記次長、04年兵庫教育文化研究所副所長、同年7月退職○04年参院選初当選（兵庫県選挙区）、10年参院選再選○11年9月内閣総理大臣補佐官、13年10月内閣委員長○16年参院選落選後、日本教職員組合教育専門員○19年参院選当選（比例代表）、立憲民主党参議院議員会長,2022-11-30
水野　素子,,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/profile/7022038.htm,みずの　もとこ,立憲,神奈川,2025-07-28,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/photo/g7022038.jpg,2022,1,文教科学委員会（理）、政府開発援助等及び沖縄・北方問題に関する特別委員会、憲法審査会,2025-06-19,1970年（昭和45年）4月9日富山県下新川郡朝日町生まれ。埼玉県久喜市にて育つ。東京学芸大学附属高校を経て、平成6年東京大学法学部を卒業し、旧宇宙開発事業団（現宇宙航空研究開発機構（JAXA））に入社。28年間勤め、国際宇宙ステーション計画をはじめ、産業振興のための法政策立案や国際交渉などに携わる。その間、平成9年外務省に出向。また、オランダ・ライデン大学で国際法修士号を取得し、東京大学、慶應大学の非常勤講師を務める。航空宇宙学会では宇宙法政策委員長（初代）および男女共同参画に関する委員を務める。平成22年より中小企業診断士。令和元年国民民主党東京都参議院選挙区第1総支部長、令和2年国民民主党（後に野党合流に伴い立憲民主党）東京都第16区総支部長、令和4年立憲民主党神奈川県参議院選挙区第4区総支部長就任○著書（共著）「宇宙ビジネスのための宇宙法入門」,2022-11-30
宮口　治子,福田　治子,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/profile/7021001.htm,みやぐち　はるこ,無所属,広島,2025-07-28,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/photo/g7021001.jpg,2021,1,文教科学委員会,2025-06-19,1976年3月広島県福山市生まれ。私立福山暁の星女子中・高等学校卒業。大阪音楽大学音楽学部声楽科卒業。大阪にあったパナソニック・スクエアでのナレーターを皮切りに、KSB瀬戸内海放送キャスター・リポーター、エフエムふくやまパーソナリティー、フリーアナウンサーとして活動した。3人の子を育てる母親であり、双子のうち長男に重度の広汎性発達障がいがある。長男を連れて出かけた先で起こったアクシデントをきっかけに、見た目には分からない障がいや弱さがある方々が、同じように困っているのではないかという気付きを得て、2014年よりヘルプマークの普及啓発活動を行う任意の団体を有志で立ち上げ代表として活動。2021年4月に行われた参議院広島県選出議員再選挙にて初当選を果たした,2022-11-30
宮崎　雅夫,,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/profile/7019036.htm,みやざき　まさお,自民,比例,2025-07-28,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/photo/g7019036.jpg,2019,1,国土交通委員会、行政監視委員会（理）、政治改革に関する特別委員会、情報監視審査会,2025-06-19,昭和38年12月3日兵庫県神戸市北区に生まれる。昭和62年神戸大学農学部卒業○昭和62年農林水産省入省、在ベトナム日本国大使館二等書記官、国際協力銀行開発セクター部参事役、農村振興局設計課課長補佐、熊本県農林水産部農村計画・技術管理課長、（社）地域環境資源センター集落排水部長、農村振興局設計課海外土地改良技術室長、農村振興局地域整備課長、平成29年農林水産省辞職○令和元年7月参議院全国比例区より初当選○農林水産大臣政務官などを歴任○現在農林水産委員会理事、決算委員、災害対策特別委員、資源エネルギー・持続可能社会に関する調査会委員、参議院自民党副幹事長、農林部会副部会長、水産総合調査会副会長、女性局次長、全国土地改良政治連盟顧問、全国水土里ネット会長会議顧問,2022-11-30
宮崎　勝,,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/profile/7016037.htm,みやざき　まさる,公明,比例,2028-07-25,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/photo/g7016037.jpg,2016、2022,2,総務委員会（長）、予算委員会、地方創生及びデジタル社会の形成等に関する特別委員会,2025-06-19,昭和33年3月18日埼玉県坂戸市生まれ。坂戸小学校、坂戸中学校、県立松山高校を経て、昭和51年埼玉大学工学部に入学、同57年に同大学卒業○昭和57年公明新聞社入社。文化部、教宣部、報道部、論説部、政治部の記者として社会のさまざまな問題を掘り起こすルポルタージュや外交・安全保障など政治の最前線を取材。この間、国会議員訪問団の同行取材や党訪問団の一員として平成11年北朝鮮、同13年パキスタン、同18年ロシアを訪問。同20年政治部長、同27年に編集局長を務め、同28年7月に退職○環境大臣政務官（菅内閣、第1次岸田内閣）○現在環境委員会委員、消費者問題に関する特別委員会委員、予算委員会委員○公明党埼玉県本部副代表○当選2回（平28令4）,2022-11-30
宮沢　洋一,,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/profile/7010050.htm,みやざわ　よういち,自民,広島,2028-07-25,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/photo/g7010050.jpg,2010、2016、2022,3,財政金融委員会、東日本大震災復興特別委員会、資源エネルギー・持続可能社会に関する調査会（長）,2025-06-19,昭和25年4月21日生まれ、本籍、広島県福山市金江町○昭和49年3月東京大学法学部公法学科卒業、昭和53年6月ハーバード大学行政学大学院修了○昭和49年4月大蔵省入省。大阪国税局岸和田税務署長、大蔵省大臣官房企画官、宮澤喜一内閣総理大臣首席秘書官、平成5年大蔵省退官、平成6年衆議院議員宮澤喜一政策秘書、平成12年6月衆議院広島県第7選挙区で当選（以降連続3期当選）、衆議院議院運営委員会理事等、自由民主党政務調査会副会長、厚生労働部会長、国土交通部会長等。平成20年8月内閣府副大臣（経済・財政・地方分権改革等担当）、平成22年7月参議院選挙（広島県選挙区）で当選。平成26年10月経済産業大臣（第2次・第3次安倍内閣）、平成27年、令和3年・4年自由民主党税制調査会会長、令和元年参議院資源エネルギーに関する調査会長、令和4年参議院資源エネルギー・持続可能社会に関する調査会長,2022-11-30
宮本　周司,,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/profile/7013053.htm,みやもと　しゅうじ,自民,石川,2025-07-28,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/photo/g7013053.jpg,2013、2019、2022,3,経済産業委員会、予算委員会、災害対策特別委員会、消費者問題に関する特別委員会,2025-06-19,昭和46年3月27日石川県能美市生まれ。平成7年東京経済大学卒○大学卒業後、国税庁醸造研究所にて醸造学や技術を修得。平成12年株式会社宮本酒造店代表取締役就任。地域資源活用や農商工連携、資源循環や地産地消を推進し、同時に、自らも杜氏として酒造りにあたる。平成19年石川県商工会青年部連合会会長就任。平成21年全国商工会青年部連合会会長就任。平成23年全国商工会青年部連合会相談役就任。平成24年中小企業庁小さな企業未来会議草の根委員会委員長就任。平成25年全国商工会連合会顧問就任。参議院経済産業委員会筆頭理事。経済産業大臣政務官。自由民主党経済産業部会部会長代理、中小企業・小規模事業者政策調査会事務局長代理,2022-11-30
村田　享子,,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/profile/7022039.htm,むらた　きょうこ,立憲,比例,2028-07-25,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/photo/g7022039.jpg,2022,1,経済産業委員会、決算委員会、消費者問題に関する特別委員会、資源エネルギー・持続可能社会に関する調査会（理）,2025-06-19,1983年5月16日鹿児島県鹿児島市に生まれる。鹿児島大学教育学部附属小学校・中学校、鹿児島県立鶴丸高校卒業。岩崎育英文化財団岩崎学生寮で生活しながら、東京大学法学部卒業。岩國育英財団第11期大学奨学生。大学卒業後、派遣社員、イタリアへの語学留学を経て、早稲田大学文化構想学部へ学士入学。卒業後、参議院議員柳田稔公設秘書。2014年第47回衆議院議員総選挙にて広島県第7区から立候補するも次点。選挙後、参議院議員柳田稔公設秘書。2021年日本基幹産業労働組合連合会（基幹労連）入職。「ものづくり、働く者・生活者、女性の代表」として、2022年第26回参議院議員通常選挙に立候補し、初当選,2022-11-30
森　まさこ,三好　雅子,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/profile/7007061.htm,もり　まさこ,自民,福島,2025-07-28,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/photo/g7007061.jpg,2007、2013、2019,3,法務委員会、決算委員会、東日本大震災復興特別委員会、外交・安全保障に関する調査会,2025-06-19,昭和39年福島県いわき市生。弁護士。母は農家、父はサラリーマン、夫、子供2人。いわき市立植田小・中、福島県立磐城女子高、東北大学法学部卒。米国ニューヨーク大学法科大学院客員研究員（消費者保護法）○金融庁課長補佐（貸金業法）・検査官（証券・金融）、国連女性会議女性の地位委日弁連代表、日弁連国際人権委・消費者問題対策委・犯罪収益剥奪PT、弁護士会子どもの権利委・男女共同参画PT○国務大臣女性活力・子育て支援担当、内閣府特命担当大臣（消費者及び食品安全、少子化対策、男女共同参画）・法務大臣○参議院行政監視委員長・環境委員長・東日本大震災復興特別委員会理事・法務委員会理事・決算委員・消費者問題に関する特別委員○党副幹事長・法務部会長・情報調査局次長・参議院副幹事長・環境部会長・女性活躍推進特別委員長○現在内閣総理大臣補佐官○著書「取り立てに怯えた少女が大臣になった」,2022-11-30
